Id,SalePrice
1461,132972.9
1462,147400.78
1463,178507.39
1464,183319.55
1465,196279.86
1466,178844.44
1467,169816.5
1468,174863.56
1469,193759.64
1470,114022.47
1471,199182.45
1472,91567.08
1473,95001.01
1474,163190.31
1475,143931.31
1476,406847.3
1477,243993.23
1478,322893.72
1479,300089.97
1480,512176.94
1481,352742.0
1482,205842.97
1483,174608.62
1484,167248.9
1485,179071.53
1486,215449.8
1487,331325.25
1488,261974.23
1489,218482.22
1490,199012.36
1491,186204.94
1492,107824.21
1493,203801.25
1494,266439.62
1495,261976.95
1496,221986.38
1497,208689.17
1498,153192.36
1499,151074.97
1500,138519.78
1501,174090.12
1502,144038.66
1503,317181.22
1504,221957.58
1505,219822.53
1506,213234.88
1507,222448.45
1508,190680.73
1509,164509.69
1510,150820.8
1511,154334.98
1512,155735.67
1513,174254.89
1514,178678.92
1515,246939.61
1516,150914.42
1517,155351.94
1518,144636.58
1519,210182.39
1520,132100.39
1521,145767.14
1522,184346.86
1523,118821.27
1524,121986.03
1525,124661.914
1526,125840.1
1527,101425.39
1528,123043.42
1529,131437.55
1530,167035.34
1531,129537.125
1532,83472.266
1533,142194.62
1534,125167.22
1535,148605.92
1536,112724.07
1537,88311.27
1538,185736.36
1539,219157.83
1540,121070.37
1541,176651.6
1542,155248.75
1543,235015.77
1544,70914.555
1545,103014.7
1546,115451.74
1547,115289.086
1548,135495.31
1549,110910.98
1550,129231.85
1551,113263.13
1552,140888.67
1553,129028.766
1554,112123.26
1555,141493.06
1556,113056.87
1557,116928.164
1558,95346.53
1559,122873.83
1560,136918.42
1561,154295.97
1562,132827.92
1563,121526.53
1564,162020.67
1565,156452.06
1566,199603.98
1567,61726.68
1568,217343.11
1569,108913.12
1570,128755.29
1571,116298.57
1572,155976.05
1573,237689.4
1574,157502.55
1575,193393.61
1576,207083.6
1577,208965.72
1578,139265.31
1579,141310.64
1580,195667.23
1581,137901.3
1582,130635.47
1583,329260.6
1584,258078.39
1585,140394.3
1586,75155.26
1587,103269.51
1588,150855.02
1589,97193.0
1590,146981.78
1591,95689.01
1592,117821.04
1593,110182.51
1594,131955.81
1595,123230.5
1596,277760.47
1597,180372.45
1598,173240.48
1599,159281.22
1600,175404.53
1601,44947.95
1602,111145.32
1603,81469.63
1604,272126.4
1605,248144.64
1606,157882.4
1607,220381.06
1608,205148.69
1609,203788.06
1610,186962.06
1611,157601.1
1612,185850.83
1613,169487.64
1614,121912.02
1615,78301.82
1616,78301.82
1617,83510.12
1618,131886.03
1619,135149.9
1620,241624.61
1621,143343.9
1622,131651.12
1623,313559.88
1624,218979.34
1625,121642.36
1626,192435.53
1627,189340.84
1628,267947.47
1629,173247.08
1630,335235.62
1631,244962.34
1632,287521.28
1633,176479.08
1634,175194.6
1635,182656.73
1636,156053.73
1637,207620.39
1638,238687.69
1639,189987.14
1640,286194.4
1641,180648.22
1642,223345.78
1643,235168.69
1644,223685.38
1645,171675.9
1646,164940.4
1647,176797.97
1648,158084.94
1649,133264.44
1650,110536.85
1651,124688.88
1652,92110.7
1653,96357.59
1654,161845.97
1655,156368.62
1656,155162.97
1657,161845.97
1658,155162.97
1659,140988.44
1660,142414.44
1661,511710.84
1662,429249.2
1663,383643.34
1664,442344.4
1665,371429.94
1666,244214.72
1667,331196.53
1668,384580.66
1669,297172.66
1670,339185.2
1671,236652.5
1672,494538.84
1673,307972.2
1674,266404.5
1675,180751.77
1676,194043.22
1677,217750.77
1678,401171.5
1679,364320.47
1680,320774.88
1681,298715.4
1682,288993.47
1683,176007.14
1684,167656.06
1685,183497.7
1686,173814.61
1687,174040.17
1688,179153.4
1689,181390.03
1690,171971.36
1691,170852.77
1692,260799.0
1693,179071.53
1694,181996.25
1695,177472.38
1696,243028.83
1697,177472.38
1698,402479.72
1699,354866.03
1700,247538.39
1701,248407.42
1702,320651.03
1703,294795.0
1704,306196.66
1705,257090.44
1706,442679.7
1707,231722.55
1708,212207.19
1709,311641.0
1710,235807.38
1711,232229.56
1712,303606.28
1713,243065.61
1714,207822.72
1715,205869.48
1716,193476.14
1717,163364.8
1718,126729.66
1719,191815.78
1720,267817.34
1721,183987.61
1722,141575.0
1723,158078.45
1724,227917.17
1725,248368.77
1726,197770.72
1727,169533.5
1728,177090.45
1729,154231.45
1730,150502.36
1731,138416.03
1732,132774.08
1733,120423.31
1734,134295.14
1735,130229.84
1736,124512.61
1737,277690.38
1738,212521.84
1739,304742.78
1740,275206.12
1741,184056.31
1742,173819.64
1743,176856.5
1744,304411.56
1745,220047.48
1746,226439.11
1747,192706.84
1748,225201.73
1749,152413.23
1750,152161.89
1751,236539.53
1752,115321.81
1753,164132.1
1754,223543.58
1755,162986.6
1756,111101.75
1757,115430.7
1758,142406.31
1759,153798.44
1760,169406.9
1761,153686.86
1762,163443.95
1763,180993.8
1764,109588.31
1765,196408.38
1766,168605.39
1767,212142.78
1768,130332.63
1769,156914.64
1770,148922.7
1771,140564.02
1772,128768.97
1773,124053.65
1774,163410.34
1775,136872.25
1776,116590.086
1777,109039.24
1778,127854.19
1779,109748.664
1780,185114.81
1781,133447.33
1782,103544.195
1783,159106.03
1784,99902.58
1785,103771.766
1786,158632.8
1787,193133.14
1788,55790.168
1789,69143.57
1790,65587.76
1791,242457.19
1792,155017.02
1793,147978.0
1794,156375.94
1795,146254.3
1796,112559.52
1797,137106.67
1798,129575.12
1799,107534.914
1800,124055.945
1801,132797.67
1802,182106.16
1803,169520.39
1804,143438.12
1805,145389.2
1806,117027.33
1807,128737.836
1808,129410.984
1809,104517.23
1810,156035.12
1811,113701.65
1812,110639.26
1813,130076.62
1814,82871.07
